site_id,study_id,institution_id,site_name,country,city,principal_investigator,target_subjects,activation_date,site_status
S0001,CT-101,INST-0001,Delhi General Hospital,India,Delhi,Dr. Hoffmann,53,2025-08-30,ACTIVE
S0002,CT-101,INST-0002,Houston Teaching Hospital,United States,Houston,Dr. Yamada,53,2025-07-21,ACTIVE
S0003,CT-101,INST-0003,Barcelona General Hospital,Spain,Barcelona,Dr. Tanaka,53,2025-07-14,ACTIVE
S0004,CT-101,INST-0004,Kolkata Institute of Clinical Research,India,Kolkata,Dr. Mehta,53,2025-07-28,CLOSED
S0005,CT-101,INST-0005,Chicago Medical Center,United States,Chicago,Dr. Tanaka,53,2025-07-25,ACTIVE
S0006,CT-101,INST-0006,Madrid University Hospital,Spain,Madrid,Dr. Kowalski,53,2025-08-03,ACTIVE
S0007,CT-102,INST-0004,Kolkata Institute of Clinical Research,India,Kolkata,Dr. Iyer,75,2025-03-28,ACTIVE
S0008,CT-102,INST-0007,Leeds Teaching Hospital,United Kingdom,Leeds,Dr. Zielinski,75,2025-05-06,ACTIVE
S0009,CT-102,INST-0008,Chicago University Hospital,United States,Chicago,Dr. Kowalski,75,2025-03-16,ACTIVE
S0010,CT-102,INST-0009,Berlin Clinical Research Center,Germany,Berlin,Dr. Lindqvist,75,2025-06-06,ACTIVE
S0011,CT-102,INST-0010,Sao Paulo Medical Center,Brazil,Sao Paulo,Dr. Lindqvist,75,2025-03-27,ACTIVE
S0012,CT-102,INST-0011,Tokyo General Hospital,Japan,Tokyo,Dr. Okonkwo,75,2025-03-24,ACTIVE
S0013,CT-102,INST-0012,Bengaluru Institute of Clinical Research,India,Bengaluru,Dr. Jansen,75,2025-06-07,ACTIVE
S0014,CT-102,INST-0013,London Specialty Clinic,United Kingdom,London,Dr. Ferreira,75,2025-03-31,ACTIVE
S0015,CT-102,INST-0014,Durham Teaching Hospital,United States,Durham,Dr. Quintana,75,2025-04-28,ACTIVE
S0016,CT-102,INST-0015,Munich Specialty Clinic,Germany,Munich,Dr. Almeida,75,2025-06-01,ACTIVE
S0017,CT-102,INST-0016,Porto Alegre University Hospital,Brazil,Porto Alegre,Dr. Ueda,75,2025-04-11,ACTIVE
S0018,CT-102,INST-0017,Osaka Medical Center,Japan,Osaka,Dr. Quintana,75,2025-04-26,ACTIVE
S0019,CT-103,INST-0018,Bengaluru Institute of Clinical Research,India,Bengaluru,Dr. Jansen,40,2025-12-25,ACTIVE
S0020,CT-103,INST-0015,Munich Specialty Clinic,Germany,Munich,Dr. Ueda,40,2025-12-15,ACTIVE
S0021,CT-103,INST-0019,Krakow Specialty Clinic,Poland,Krakow,Dr. Almeida,40,2026-01-13,ACTIVE
S0022,CT-103,INST-0020,Mumbai Clinical Research Center,India,Mumbai,Dr. Chen,40,2025-11-27,ACTIVE
S0023,CT-103,INST-0009,Berlin Clinical Research Center,Germany,Berlin,Dr. Iyer,40,2026-02-01,ACTIVE
S0024,CT-103,INST-0021,Warsaw Institute of Clinical Research,Poland,Warsaw,Dr. Wong,40,2025-11-11,ACTIVE
S0025,CT-104,INST-0022,Mumbai Teaching Hospital,India,Mumbai,Dr. Iyer,100,2025-07-23,ACTIVE
S0026,CT-104,INST-0013,London Specialty Clinic,United Kingdom,London,Dr. Almeida,100,2025-06-05,ACTIVE
S0027,CT-104,INST-0023,Boston Specialty Clinic,United States,Boston,Dr. Jansen,100,2025-08-04,ACTIVE
S0028,CT-104,INST-0024,Cape Town Clinical Research Center,South Africa,Cape Town,Dr. Bauer,100,2025-08-12,ACTIVE
S0029,CT-104,INST-0025,Tokyo Specialty Clinic,Japan,Tokyo,Dr. Rossi,100,2025-07-23,ACTIVE
S0030,CT-104,INST-0026,Toronto Specialty Clinic,Canada,Toronto,Dr. Bauer,100,2025-05-17,ACTIVE
S0031,CT-104,INST-0027,Delhi University Hospital,India,Delhi,Dr. Pereira,100,2025-07-24,ACTIVE
S0032,CT-104,INST-0028,Manchester Clinical Research Center,United Kingdom,Manchester,Dr. Hoffmann,100,2025-07-24,ACTIVE
S0033,CT-104,INST-0029,Houston Institute of Clinical Research,United States,Houston,Dr. Mehta,100,2025-08-01,ACTIVE
S0034,CT-104,INST-0030,Johannesburg Teaching Hospital,South Africa,Johannesburg,Dr. Pereira,100,2025-07-08,ACTIVE
S0035,CT-104,INST-0031,Osaka Specialty Clinic,Japan,Osaka,Dr. Ferreira,100,2025-07-24,ACTIVE
S0036,CT-104,INST-0032,Toronto Specialty Clinic,Canada,Toronto,Dr. Lindqvist,100,2025-08-11,ACTIVE
S0037,CT-105,INST-0033,Manchester Institute of Clinical Research,United Kingdom,Manchester,Dr. Ferreira,40,2026-04-24,ACTIVE
S0038,CT-105,INST-0034,Leeds Institute of Clinical Research,United Kingdom,Leeds,Dr. Ueda,40,2026-02-19,CLOSED
S0039,CT-105,INST-0035,Manchester Clinical Research Center,United Kingdom,Manchester,Dr. Quintana,40,2026-04-03,ACTIVE
S0040,CT-106,INST-0004,Kolkata Institute of Clinical Research,India,Kolkata,Dr. Yamada,133,2025-11-23,ACTIVE
